ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime,
1/12/2017,,,,54,227,603,151,84.57,161.96,
1/13/2017,,,,85,516,414,138,73.61,95.28,
1/14/2017,,,,150,274,180,155,58.05,135.52,
1/15/2017,,,,132,348,272,492,86.01,113.27,
1/16/2017,,,,49,369,284,301,72.89,94.76,
1/17/2017,,,,87,514,389,70,69.7,119.58,
1/18/2017,,,,274,448,643,412,73.97,95.63,
1/19/2017,,,,96,201,401,328,83.73,102.82,
1/20/2017,,,,118,597,253,542,66.5,130.57,
1/21/2017,,,,402,238,517,76,75.31,177.22,
1/22/2017,,,,342,185,340,78,84.17,133.21,
1/23/2017,,,,236,388,507,318,69.28,93.32,
1/24/2017,,,,44,309,237,479,69.55,119.67,
1/25/2017,,,,297,372,481,272,72.65,126.08,
1/26/2017,,,,294,396,269,366,76.02,181.05,
1/27/2017,,,,438,219,275,369,82.1,200.21,
1/28/2017,,,,69,479,286,351,72.31,122.37,
1/29/2017,,,,456,408,370,360,81.94,31.02,
1/30/2017,,,,78,231,271,215,80.45,92.93,
1/31/2017,,,,182,338,212,198,72.97,191.2,
2/1/2017,,,,239,234,588,139,80.38,107.55,
2/2/2017,,,,275,336,322,75,68.75,126.88,
2/3/2017,,,,311,211,450,389,77.87,199.03,
2/4/2017,,,,301,139,315,628,72.48,143.11,
2/5/2017,,,,184,504,219,590,78.69,147.49,
2/6/2017,,,,235,183,255,418,57.08,128.09,
2/7/2017,,,,80,177,440,312,88.95,108.31,
2/8/2017,,,,434,250,407,410,59.24,127.98,
2/9/2017,,,,461,203,290,379,76.17,194.77,
2/10/2017,,,,334,294,221,194,81.9,111.58,
2/11/2017,,,,64,195,244,345,68.4,215.78,
2/12/2017,,,,134,591,298,243,81.85,279.0,
2/13/2017,,,,189,419,1103,195,71.98,180.92,
2/14/2017,,,,840,218,276,362,64.19,182.89,
2/15/2017,,,,259,210,368,499,81.57,111.13,
2/16/2017,,,,163,459,203,1125,85.86,119.47,
2/17/2017,,,,862,303,1074,200,81.79,168.28,
2/18/2017,,,,199,244,710,246,84.76,127.28,
2/19/2017,,,,249,469,510,1076,65.31,44.47,
2/20/2017,,,,471,473,530,386,89.55,157.25,
2/21/2017,,,,116,297,457,391,68.69,150.4,
2/22/2017,,,,74,449,190,546,74.36,128.13,
2/23/2017,,,,91,463,138,657,75.46,156.72,
2/24/2017,,,,166,402,182,140,73.73,155.63,
2/25/2017,,,,126,255,222,177,78.88,281.47,
2/26/2017,,,,67,411,156,84,90.93,156.64,
2/27/2017,,,,20,478,437,101,77.36,132.99,
2/28/2017,,,,336,273,201,89,87.74,156.69,
3/1/2017,,,,62,404,187,106,78.37,110.37,
3/2/2017,,,,238,232,151,107,74.54,142.4,
3/3/2017,,,,276,291,287,92,84.52,117.28,
3/4/2017,,,,38,409,139,79,68.28,113.55,
3/5/2017,,,,448,286,193,87,77.48,216.32,
3/6/2017,,,,204,440,217,255,70.68,133.31,
3/7/2017,,,,253,235,209,157,78.72,195.54,
3/8/2017,,,,286,417,225,494,66.67,100.48,
3/9/2017,,,,181,275,179,285,76.7,85.01,
3/10/2017,,,,219,499,,286,77.78,181.59,
3/11/2017,,,,198,236,,306,73.05,217.59,
3/12/2017,,,,180,508,,38,92.04,127.92,
3/13/2017,,,,28,233,,515,77.4,142.3,
3/14/2017,,,,353,447,,260,78.7,160.23,
3/15/2017,,,,156,310,,281,73.24,206.28,
3/16/2017,,,,305,271,,288,87.72,281.84,
3/17/2017,,,,223,306,,340,91.03,190.34,
3/18/2017,,,,178,471,,344,44.55,166.25,
3/19/2017,,,,779,150,,203,85.0,137.41,
3/20/2017,,,,175,269,,31,76.99,149.77,
3/21/2017,,,,237,212,,390,66.02,253.43,
3/22/2017,,,,262,485,,609,66.12,244.2,
3/23/2017,,,,137,307,,398,61.45,257.91,
3/24/2017,,,,114,491,,397,97.96,140.64,
3/25/2017,,,,110,519,,158,84.11,149.01,
3/26/2017,,,,195,513,,378,78.99,195.25,
3/27/2017,,,,98,327,,343,85.51,125.49,
3/28/2017,,,,84,464,,250,63.87,91.49,
3/29/2017,,,,119,284,,196,74.44,199.0,
3/30/2017,,,,246,260,,239,67.07,161.94,
3/31/2017,,,,685,454,,1036,69.37,152.98,
4/1/2017,,,,562,248,,192,78.41,254.06,
4/2/2017,,,,631,328,,816,62.86,218.43,
4/3/2017,,,,506,264,,354,90.55,188.82,
4/4/2017,,,,584,391,,387,88.29,256.99,
4/5/2017,,,,325,312,,162,80.81,248.48,
