ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount,
2/18/2017,,,346.81,414,,,633,103,20.51,247,
2/19/2017,,,747.2,615,,,757,175,17.21,393,
2/20/2017,,,446.44,752,,,315,17,0.5,564,
2/21/2017,,,478.64,1315,,,732,162,22.39,293,
2/22/2017,,,818.94,2757,,,1323,225,14.79,325,
2/23/2017,,,363.7,224,,,983,50,8.71,266,
2/24/2017,,,473.42,2875,,,3795,209,25.64,181,
2/25/2017,,,474.28,2221,,,238,85,26.77,87,
2/26/2017,,,467.61,537,,,711,561,7.1,250,
2/27/2017,,,260.04,1594,,,370,67,42.0,264,
2/28/2017,,,19.5,2237,,,528,537,2.73,173,
3/1/2017,,,523.19,2204,,,3867,65,76.85,202,
3/2/2017,,,170.69,1286,,,540,38,47.64,309,
3/3/2017,,,217.88,424,,,1455,15,8.55,169,
3/4/2017,,,470.74,1064,,,1511,45,37.47,237,
3/5/2017,,,195.82,2045,,,2414,25,29.67,555,
3/6/2017,,,806.2,1522,,,2357,637,48.92,210,
3/7/2017,,,64.6,5640,,,262,396,16.11,330,
3/8/2017,,,962.93,475,,,50,24,34.05,311,
3/9/2017,,,675.31,426,,,297,203,6.61,308,
3/10/2017,,,203.08,32,,,174,592,11.81,233,
3/11/2017,,,480.59,750,,,208,663,11.12,268,
3/12/2017,,,788.64,6117,,,154,329,32.76,319,
3/13/2017,,,880.72,917,,,366,222,20.59,167,
3/14/2017,,,306.95,2682,,,146,299,88.25,204,
3/15/2017,,,416.6,2258,,,353,199,12.51,580,
3/16/2017,,,77.14,3688,,,276,174,4.13,267,
3/17/2017,,,163.95,3582,,,207,109,10.04,274,
3/18/2017,,,262.24,1031,,,421,111,18.35,374,
3/19/2017,,,680.94,880,,,601,137,21.77,174,
3/20/2017,,,520.09,442,,,76,32,98.63,137,
3/21/2017,,,1475.73,101,,,121,462,16.9,410,
3/22/2017,,,362.88,531,,,179,384,96.5,606,
3/23/2017,,,253.34,287,,,277,167,47.88,283,
